StockCode,avgPrice,totalQty,totalSales,mainCountry,Description,firstPurchase,lastPurchase,frequency,uniqueCustomers,Recency,Monetary
21698,0.49,266,116.62,United Kingdom,MOCK LOBSTER FRIDGE MAGNET,2010-12-17 16:53:00,2011-12-07 16:47:00,22,22,1,116.62
21700,0.85,1266,1076.1,United Kingdom,BIG DOUGHNUT FRIDGE MAGNETS,2010-12-02 14:40:00,2011-12-07 13:46:00,87,58,1,1076.1
21703,0.43,9272,3431.35,United Kingdom,BAG 125g SWIRLY MARBLES,2010-12-01 17:35:00,2011-12-08 19:24:00,247,175,0,3431.35
21704,0.86,5004,3856.38,United Kingdom,BAG 250g SWIRLY MARBLES,2010-12-01 17:35:00,2011-12-08 19:28:00,198,137,0,3856.38
21705,1.51,1377,1299.21,United Kingdom,BAG 500g SWIRLY MARBLES,2010-12-01 11:41:00,2011-12-09 11:26:00,112,89,0,1299.21
21706,5.07,229,1134.58,United Kingdom,FOLDING UMBRELLA RED/WHITE POLKADOT,2010-12-01 11:49:00,2011-12-06 08:55:00,69,53,3,1134.58
21707,5.15,120,601.22,United Kingdom,FOLDING UMBRELLA BLACKBLUE POLKADOT,2010-12-15 15:14:00,2011-12-06 08:55:00,47,44,3,601.22
21708,4.91,139,682.45,United Kingdom,FOLDING UMBRELLA CREAM POLKADOT,2010-12-01 11:49:00,2011-11-28 11:00:00,33,28,11,682.45
21709,5.09,87,430.06,United Kingdom,FOLDING UMBRELLA CHOCOLATE POLKADOT,2010-12-01 17:35:00,2011-11-25 13:40:00,31,30,13,430.06
21710,5.07,84,412.41,United Kingdom,FOLDING UMBRELLA PINKWHITE POLKADOT,2010-12-01 11:49:00,2011-11-25 11:41:00,31,29,14,412.41
21711,4.89,86,420.1,United Kingdom,FOLDING UMBRELLA WHITE/RED POLKADOT,2010-12-01 11:49:00,2011-11-24 14:40:00,23,22,14,420.1
21713,2.1,701,1448.1,United Kingdom,CITRONELLA CANDLE FLOWERPOT,2010-12-06 08:34:00,2011-12-06 12:38:00,130,103,3,1448.1
21714,1.25,1085,1356.25,United Kingdom,CITRONELLA CANDLE GARDEN POT,2010-12-02 15:46:00,2011-12-07 14:12:00,127,106,1,1356.25
21715,2.52,1141,2736.75,United Kingdom,GIRLS VINTAGE TIN SEASIDE BUCKET,2010-12-01 12:03:00,2011-12-08 13:50:00,139,116,0,2736.75
21716,2.55,1206,2921.72,United Kingdom,BOYS VINTAGE TIN SEASIDE BUCKET,2010-12-01 12:03:00,2011-12-06 12:59:00,139,112,2,2921.72
21717,2.5,405,931.95,United Kingdom,EASTER TIN BUCKET,2010-12-12 11:44:00,2011-03-22 11:05:00,38,34,262,931.95
21718,1.27,1289,1613.67,United Kingdom,RED METAL BEACH SPADE ,2010-12-01 12:03:00,2011-12-08 13:50:00,145,106,0,1613.67
21719,0.85,301,255.85,United Kingdom,LOVELY BONBON STICKER SHEET,2010-12-02 10:27:00,2011-11-28 13:06:00,35,29,10,255.85
21720,0.85,57,48.45,United Kingdom,CAKE SHOP  STICKER SHEET,2010-12-06 10:19:00,2011-07-26 09:51:00,8,8,136,48.45
21721,0.85,175,148.75,United Kingdom,CANDY SHOP  STICKER SHEET,2010-12-03 17:20:00,2011-10-26 13:56:00,22,19,43,148.75
21722,0.85,65,55.25,United Kingdom,SWEET PUDDING STICKER SHEET,2010-12-02 10:27:00,2011-11-28 13:06:00,15,13,10,55.25
21723,0.85,371,315.35,United Kingdom,ALPHABET HEARTS STICKER SHEET,2010-12-05 13:00:00,2011-12-05 16:55:00,40,29,3,315.35
21724,0.85,372,316.2,United Kingdom,PANDA AND BUNNIES STICKER SHEET,2010-12-01 08:45:00,2011-12-08 11:43:00,57,43,1,316.2
21725,0.85,274,232.9,United Kingdom,SWEETIES  STICKERS,2010-12-06 12:23:00,2011-11-17 14:26:00,32,26,21,232.9
21726,0.85,231,196.35,United Kingdom,MULTI HEARTS  STICKERS,2010-12-03 17:20:00,2011-12-07 13:35:00,36,29,1,196.35
21730,4.93,498,2324.14,United Kingdom,GLASS STAR FROSTED T-LIGHT HOLDER,2010-12-01 08:26:00,2011-12-07 16:56:00,120,79,1,2324.14
21731,1.66,12871,19844.91,United Kingdom,RED TOADSTOOL LED NIGHT LIGHT,2010-12-01 08:45:00,2011-12-09 10:46:00,535,266,0,19844.91
21733,2.95,7759,22624.69,United Kingdom,RED HANGING HEART T-LIGHT HOLDER,2010-12-01 09:32:00,2011-12-08 14:38:00,696,385,0,22624.69
21735,12.54,210,2551.95,United Kingdom,TWO DOOR CURIO CABINET,2010-12-02 14:47:00,2011-09-16 13:53:00,82,60,83,2551.95
21736,1.82,80,137.22,United Kingdom,GOLD SCROLL GLASS T-LIGHT HOLDER,2010-12-12 16:14:00,2011-04-06 12:08:00,6,5,247,137.22
21738,2.95,45,132.75,United Kingdom,COSY SLIPPER SHOES SMALL  RED ,2010-12-01 11:49:00,2011-10-20 12:43:00,22,17,50,132.75
21739,2.88,143,417.44,United Kingdom,COSY SLIPPER SHOES SMALL GREEN,2010-12-01 11:49:00,2011-12-08 13:50:00,50,38,0,417.44
21741,2.95,131,386.45,United Kingdom,COSY SLIPPER SHOES LARGE GREEN,2010-12-02 12:09:00,2011-11-16 12:08:00,28,27,23,386.45
21742,5.95,193,1148.35,United Kingdom,LARGE ROUND WICKER PLATTER ,2010-12-01 12:49:00,2011-12-08 16:18:00,92,75,0,1148.35
21743,2.92,275,753.65,United Kingdom,STAR PORTABLE TABLE LIGHT ,2010-12-01 11:21:00,2011-09-13 11:24:00,32,28,87,753.65
21744,3.19,367,1128.09,United Kingdom,SNOWFLAKE PORTABLE TABLE LIGHT ,2010-12-01 11:21:00,2011-11-24 13:40:00,84,66,14,1128.09
21745,3.78,929,3412.19,United Kingdom,GAOLERS KEYS DECORATIVE GARDEN ,2010-12-02 14:26:00,2011-12-07 11:43:00,209,115,2,3412.19
21746,1.26,2974,3521.7,United Kingdom,SMALL RED RETROSPOT WINDMILL,2010-12-06 13:41:00,2011-11-29 08:07:00,187,122,10,3521.7
21747,1.24,437,527.53,United Kingdom,SMALL SKULL WINDMILL,2010-12-19 14:41:00,2011-11-30 14:00:00,42,31,8,527.53
21749,2.07,1900,3645.0,United Kingdom,LARGE RED RETROSPOT WINDMILL,2010-12-14 16:23:00,2011-11-17 12:55:00,107,80,21,3645.0
21750,2.1,78,163.8,United Kingdom,LARGE SKULL WINDMILL,2011-03-18 13:51:00,2011-10-18 13:29:00,17,15,51,163.8
21754,6.02,2654,15630.96,United Kingdom,HOME BUILDING BLOCK WORD,2010-12-01 08:34:00,2011-12-08 13:59:00,710,360,0,15630.96
21755,6.02,1946,11535.56,United Kingdom,LOVE BUILDING BLOCK WORD,2010-12-01 08:34:00,2011-12-09 12:00:00,580,337,0,11535.56
21756,6.03,792,4727.83,United Kingdom,BATH BUILDING BLOCK WORD,2010-12-01 08:35:00,2011-12-08 13:22:00,256,168,0,4727.83
21757,4.95,6,29.7,United Kingdom,LIGHTHOUSE PRINTED METAL SIGN,2011-01-09 11:34:00,2011-02-17 12:29:00,3,3,295,29.7
21758,6.41,32,202.4,United Kingdom,VINTAGE SHELLS PRINT,2011-01-31 15:52:00,2011-11-16 08:53:00,14,13,23,202.4
21761,29.95,10,299.5,United Kingdom,WOOD AND GLASS MEDICINE CABINET,2010-12-01 15:35:00,2011-12-04 13:20:00,10,10,4,299.5
21763,27.46,6,169.75,United Kingdom,VINTAGE WOODEN BAR STOOL,2011-01-05 15:56:00,2011-07-06 16:40:00,4,4,155,169.75
21769,66.36,11,607.65,United Kingdom,VINTAGE POST OFFICE CABINET,2010-12-02 12:18:00,2010-12-07 16:43:00,2,2,366,607.65
21770,4.94,1577,7311.36,United Kingdom,OPEN CLOSED METAL SIGN,2011-03-24 12:11:00,2011-12-08 17:37:00,344,263,0,7311.36
21773,1.08,920,693.52,United Kingdom,DECORATIVE ROSE BATHROOM BOTTLE,2010-12-07 15:03:00,2011-11-29 14:20:00,59,50,9,693.52
21774,1.15,835,647.03,United Kingdom,DECORATIVE CATS BATHROOM BOTTLE,2010-12-05 11:57:00,2011-11-29 14:20:00,52,39,9,647.03
21775,1.23,283,313.91,United Kingdom,DECORATIVE FLORE BATHROOM BOTTLE,2011-01-11 12:20:00,2011-11-29 14:20:00,41,34,9,313.91
21777,7.95,7,55.65,United Kingdom,RECIPE BOX WITH METAL HEART,2010-12-01 08:34:00,2010-12-01 16:49:00,3,3,372,55.65
21781,14.87,138,2012.5,United Kingdom,MA CAMPAGNE CUTLERY BOX,2010-12-01 15:35:00,2011-07-10 16:18:00,82,51,151,2012.5
21784,9.95,51,507.45,United Kingdom,SHOE SHINE BOX ,2010-12-02 13:08:00,2011-09-01 13:40:00,38,20,98,507.45
21785,0.81,411,267.95,United Kingdom,RAIN PONCHO ,2010-12-05 12:53:00,2011-02-15 14:44:00,5,3,296,267.95
21786,0.45,1733,631.15,United Kingdom,POLKADOT RAIN HAT ,2010-12-01 10:19:00,2011-12-08 19:57:00,97,56,0,631.15
21787,0.86,8755,6964.63,United Kingdom,RAIN PONCHO RETROSPOT,2010-12-05 11:57:00,2011-12-06 11:39:00,186,115,3,6964.63
21788,0.85,1203,936.93,United Kingdom,KIDS RAIN MAC BLUE,2010-12-02 16:38:00,2011-12-06 11:39:00,69,59,3,936.93
21789,0.86,799,675.13,United Kingdom,KIDS RAIN MAC PINK,2010-12-01 16:57:00,2011-12-02 13:12:00,71,55,6,675.13
21790,0.85,13336,10447.42,United Kingdom,VINTAGE SNAP CARDS,2010-12-01 11:57:00,2011-12-09 12:20:00,736,449,0,10447.42
21791,1.27,7143,8531.41,United Kingdom,VINTAGE HEADS AND TAILS CARD GAME ,2010-12-01 08:45:00,2011-12-08 19:24:00,491,342,0,8531.41
21792,4.59,331,1388.65,United Kingdom,CLASSIC FRENCH STYLE BASKET GREEN ,2010-12-15 15:00:00,2011-08-03 12:58:00,70,58,127,1388.65
21793,4.29,296,1240.44,United Kingdom,CLASSIC FRENCH STYLE BASKET BROWN,2010-12-19 13:31:00,2011-11-28 15:54:00,67,57,10,1240.44
21794,4.4,501,2064.47,United Kingdom,CLASSIC FRENCH STYLE BASKET NATURAL,2010-12-01 12:43:00,2011-10-25 15:34:00,93,79,44,2064.47
21801,0.42,457,191.94,United Kingdom,CHRISTMAS TREE DECORATION WITH BELL,2010-12-02 12:11:00,2011-10-30 11:22:00,22,22,40,191.94
21802,0.42,1000,420.0,United Kingdom,CHRISTMAS TREE HEART DECORATION,2010-12-05 12:34:00,2011-11-21 11:55:00,49,45,18,420.0
21803,0.42,1138,477.96,United Kingdom,CHRISTMAS TREE STAR DECORATION,2010-12-02 12:11:00,2011-12-09 12:20:00,51,46,0,477.96
21804,3.72,178,656.7,United Kingdom,WHITE CHRISTMAS GARLAND STARS TREES,2010-12-01 12:43:00,2011-12-02 11:28:00,41,37,7,656.7
21807,0.42,415,174.3,United Kingdom,WHITE CHRISTMAS STAR DECORATION,2010-12-03 09:31:00,2011-10-31 16:24:00,30,24,38,174.3
21808,3.64,100,370.0,United Kingdom,"CHRISTMAS GARLAND STARS,TREES",2010-12-01 15:35:00,2011-12-08 13:50:00,22,21,0,370.0
21809,0.74,1859,995.3,United Kingdom,CHRISTMAS HANGING TREE WITH BELL,2010-12-01 15:35:00,2011-12-09 12:20:00,91,72,0,995.3
21810,0.57,5305,2443.07,United Kingdom,CHRISTMAS HANGING STAR WITH BELL,2010-12-01 12:49:00,2011-12-09 10:51:00,189,129,0,2443.07
21811,0.64,4332,2181.58,United Kingdom,CHRISTMAS HANGING HEART WITH BELL,2010-12-01 11:45:00,2011-11-23 12:45:00,167,119,16,2181.58
21812,4.9,218,1037.1,United Kingdom,GARLAND WITH HEARTS AND BELLS,2010-12-06 15:14:00,2011-12-06 11:51:00,43,36,3,1037.1
21813,4.9,250,1187.1,United Kingdom,GARLAND WITH STARS AND BELLS,2010-12-01 15:35:00,2011-12-06 11:51:00,41,38,3,1187.1
21814,1.45,75,108.75,United Kingdom,HEART T-LIGHT HOLDER ,2010-12-01 12:23:00,2011-11-27 13:00:00,15,11,11,108.75
21815,1.45,132,191.4,United Kingdom,STAR  T-LIGHT HOLDER ,2010-12-01 12:23:00,2011-11-23 12:58:00,20,15,15,191.4
21816,1.45,34,49.3,United Kingdom,CHRISTMAS TREE T-LIGHT HOLDER,2010-12-01 12:23:00,2011-11-27 13:00:00,9,6,11,49.3
21817,0.5,908,408.86,United Kingdom,GLITTER CHRISTMAS TREE,2010-12-01 15:35:00,2011-11-09 15:17:00,61,48,29,408.86
21818,0.51,2699,1281.13,United Kingdom,GLITTER CHRISTMAS HEART ,2010-12-01 15:08:00,2011-12-07 16:56:00,164,117,1,1281.13
21819,0.49,2465,1054.63,United Kingdom,GLITTER CHRISTMAS STAR ,2010-12-05 14:45:00,2011-12-08 14:38:00,129,95,0,1054.63
21820,3.79,291,1079.84,United Kingdom,GLITTER HEART GARLAND WITH BELLS ,2010-12-02 19:18:00,2011-12-05 16:05:00,63,49,3,1079.84
21821,3.73,223,825.45,United Kingdom,GLITTER STAR GARLAND WITH BELLS ,2010-12-02 19:18:00,2011-11-29 16:16:00,41,35,9,825.45
21822,1.03,615,567.79,United Kingdom,GLITTER CHRISTMAS TREE WITH BELLS,2010-12-05 16:24:00,2011-12-07 11:16:00,67,45,2,567.79
21823,0.75,1196,687.98,United Kingdom,PAINTED METAL HEART WITH HOLLY BELL,2010-12-01 11:45:00,2011-11-15 12:02:00,77,61,24,687.98
21824,0.6,1450,698.0,United Kingdom,PAINTED METAL STAR WITH HOLLY BELLS,2010-12-01 11:45:00,2011-11-15 12:02:00,77,63,24,698.0
21826,1.25,93,116.25,United Kingdom,EIGHT PIECE DINOSAUR SET,2010-12-01 12:54:00,2011-03-16 13:00:00,21,16,267,116.25
21827,1.25,6,7.5,United Kingdom,EIGHT PIECE CREEPY CRAWLIE SET,2010-12-06 12:55:00,2011-03-29 17:23:00,3,3,254,7.5
21828,1.25,314,392.5,United Kingdom,EIGHT PIECE SNAKE  SET,2010-12-03 12:24:00,2011-12-07 12:41:00,71,53,2,392.5
21829,0.21,6462,1332.93,United Kingdom,DINOSAUR KEYRINGS ASSORTED,2010-12-05 11:57:00,2011-10-20 12:07:00,135,104,50,1332.93
21830,0.44,2599,1093.63,United Kingdom,ASSORTED CREEPY CRAWLIES,2010-12-02 13:32:00,2011-11-23 13:39:00,92,63,15,1093.63
21832,1.73,785,1306.73,United Kingdom,CHOCOLATE CALCULATOR,2010-12-01 09:45:00,2011-12-08 19:57:00,122,83,0,1306.73
21833,1.68,2628,4278.12,United Kingdom,CAMOUFLAGE LED TORCH,2010-12-01 14:05:00,2011-12-07 12:26:00,120,87,2,4278.12
21836,3.75,3,11.25,United Kingdom,GINGHAM OVEN GLOVE RED HEART ,2010-12-05 12:29:00,2011-01-20 15:22:00,2,2,322,11.25
21839,5.45,1,5.45,United Kingdom,MUMMY MOUSE RED GINGHAM RIBBON,2011-03-27 14:28:00,2011-03-27 14:28:00,1,1,256,5.45
21841,4.25,73,310.25,United Kingdom,BABY MOUSE RED GINGHAM DRESS,2011-03-07 17:52:00,2011-11-29 10:57:00,22,19,10,310.25
21843,10.86,1809,17929.75,United Kingdom,RED RETROSPOT CAKE STAND,2010-12-01 13:31:00,2011-12-08 19:28:00,423,260,0,17929.75
21844,2.9,1814,4972.1,United Kingdom,RED RETROSPOT MUG,2010-12-01 10:52:00,2011-12-06 14:30:00,136,99,2,4972.1
21845,1.1,1907,1721.09,United Kingdom,DAIRY MAID STRIPE MUG,2010-12-03 14:54:00,2011-11-28 11:27:00,83,63,11,1721.09
21846,5.62,72,365.62,United Kingdom,PINK DIAMANTE PEN IN GIFT BOX,2010-12-08 15:56:00,2011-12-08 19:28:00,24,12,0,365.62
21847,4.95,9,44.55,United Kingdom,GREEN  DIAMANTE PEN IN GIFT BOX,2011-03-28 14:33:00,2011-11-02 15:56:00,5,5,36,44.55
21849,5.08,52,260.74,United Kingdom,SILVER DIAMANTE PEN IN GIFT BOX,2010-12-02 13:32:00,2011-12-04 14:45:00,25,16,4,260.74
21850,4.92,61,276.75,United Kingdom,BLUE  DIAMANTE PEN IN GIFT BOX,2010-12-01 16:57:00,2011-12-06 12:56:00,22,12,2,276.75
21851,5.62,26,138.72,United Kingdom,LILAC DIAMANTE PEN IN GIFT BOX,2010-12-02 13:32:00,2011-11-17 14:29:00,15,12,21,138.72
21864,2.08,610,1192.44,United Kingdom,UNION JACK FLAG PASSPORT COVER ,2010-12-01 16:01:00,2011-12-08 12:07:00,99,65,1,1192.44
21865,2.09,223,463.38,United Kingdom,PINK UNION JACK  PASSPORT COVER ,2010-12-05 13:42:00,2011-12-08 12:07:00,72,52,1,463.38
21866,1.3,537,670.46,United Kingdom,UNION JACK FLAG LUGGAGE TAG,2010-12-01 11:45:00,2011-12-08 12:07:00,110,79,1,670.46
21867,1.28,266,336.27,United Kingdom,PINK UNION JACK  LUGGAGE TAG,2010-12-01 11:45:00,2011-12-08 20:01:00,88,56,0,336.27
21868,1.33,2346,2926.98,United Kingdom,POTTING SHED TEA MUG,2010-12-02 11:22:00,2011-12-05 17:17:00,235,153,3,2926.98
21870,1.25,1357,1668.89,United Kingdom,I CAN ONLY PLEASE ONE PERSON MUG,2010-12-01 13:24:00,2011-06-06 16:41:00,141,97,185,1668.89
21871,1.38,5265,6151.78,United Kingdom,SAVE THE PLANET MUG,2010-12-01 09:02:00,2011-12-09 10:20:00,275,133,0,6151.78
21872,1.36,1269,1370.73,United Kingdom,GLAMOROUS  MUG,2010-12-02 11:45:00,2011-12-09 08:48:00,124,81,0,1370.73
21873,1.28,1586,1752.34,United Kingdom,IF YOU CAN'T STAND THE HEAT MUG,2010-12-01 13:24:00,2011-12-08 13:59:00,91,62,0,1752.34
21874,1.35,2852,3724.36,United Kingdom,GIN AND TONIC MUG,2010-12-01 13:24:00,2011-12-09 08:48:00,196,110,0,3724.36
21875,1.37,2000,2249.56,United Kingdom,KINGS CHOICE MUG,2010-12-02 11:02:00,2011-12-09 09:08:00,112,83,0,2249.56
21876,1.39,3548,4058.76,United Kingdom,POTTERING MUG,2010-12-05 10:36:00,2011-12-08 10:59:00,200,141,1,4058.76
21877,1.42,5347,6708.11,United Kingdom,HOME SWEET HOME MUG,2010-12-01 17:24:00,2011-12-09 10:20:00,299,174,0,6708.11
21878,0.85,2397,1973.75,United Kingdom,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2010-12-03 10:43:00,2011-12-08 13:50:00,157,120,0,1973.75
21879,0.46,1027,303.23,United Kingdom,HEARTS GIFT TAPE,2010-12-09 14:55:00,2011-12-05 16:55:00,59,52,3,303.23
21880,0.55,1458,668.94,United Kingdom,RED RETROSPOT TAPE,2010-12-01 11:49:00,2011-12-07 17:05:00,100,84,1,668.94
21881,0.57,975,315.55,United Kingdom,CUTE CATS TAPE,2010-12-02 10:27:00,2011-12-05 17:17:00,45,37,3,315.55
21882,0.53,600,191.28,United Kingdom,SKULLS TAPE,2010-12-03 11:19:00,2011-11-28 13:26:00,41,35,10,191.28
21883,0.56,1368,581.06,United Kingdom,STARS GIFT TAPE ,2010-12-01 08:45:00,2011-12-07 17:05:00,93,82,1,581.06
21884,0.5,1017,318.81,United Kingdom,CAKES AND BOWS GIFT  TAPE,2010-12-03 11:19:00,2011-12-04 11:45:00,44,43,5,318.81
21888,3.83,1553,5725.71,United Kingdom,BINGO SET,2010-12-01 16:57:00,2011-12-04 14:15:00,282,210,4,5725.71
21889,1.28,5778,7215.95,United Kingdom,WOODEN BOX OF DOMINOES,2010-12-01 10:29:00,2011-12-08 18:42:00,466,336,0,7215.95
21890,3.24,1075,3262.51,United Kingdom,S/6 WOODEN SKITTLES IN COTTON BAG,2010-12-01 12:03:00,2011-12-08 18:22:00,180,143,0,3262.51
21891,1.39,7919,10019.47,United Kingdom,TRADITIONAL WOODEN SKIPPING ROPE,2010-12-01 10:29:00,2011-12-08 18:22:00,358,264,0,10019.47
21892,1.3,2914,3656.75,United Kingdom,TRADITIONAL WOODEN CATCH CUP GAME ,2010-12-01 12:03:00,2011-12-06 12:59:00,305,235,2,3656.75
21894,1.31,476,610.73,United Kingdom,POTTING SHED SEED ENVELOPES,2010-12-01 12:31:00,2011-12-08 13:50:00,75,57,0,610.73
21895,4.25,1,4.25,United Kingdom,POTTING SHED SOW 'N' GROW SET,2010-12-01 12:31:00,2010-12-01 12:31:00,1,1,373,4.25
21896,2.11,949,2158.5,United Kingdom,POTTING SHED TWINE,2010-12-08 12:46:00,2011-11-22 13:02:00,92,79,16,2158.5
21897,2.88,402,1250.82,United Kingdom,POTTING SHED CANDLE CITRONELLA,2011-03-24 18:34:00,2011-04-27 11:47:00,2,1,226,1250.82
21898,3.02,445,1423.03,United Kingdom,POTTING SHED ROSE CANDLE,2011-02-17 12:42:00,2011-04-27 11:47:00,7,6,226,1423.03
21899,0.68,2605,1633.07,United Kingdom,"KEY FOB , GARAGE DESIGN",2010-12-02 14:09:00,2011-12-08 16:18:00,224,148,0,1633.07
21900,0.69,3087,1963.03,United Kingdom,"KEY FOB , SHED",2010-12-02 15:55:00,2011-12-08 16:18:00,270,166,0,1963.03
21901,0.68,1746,1142.86,United Kingdom,"KEY FOB , BACK DOOR ",2010-12-02 14:09:00,2011-12-08 17:54:00,244,143,0,1142.86
21902,0.68,1915,1176.73,United Kingdom,"KEY FOB , FRONT  DOOR ",2010-12-02 14:09:00,2011-12-08 16:18:00,167,114,0,1176.73
21903,2.24,1129,2360.58,United Kingdom,MAN FLU METAL SIGN,2010-12-05 13:55:00,2011-12-08 15:51:00,155,113,0,2360.58
21904,2.1,51,107.1,United Kingdom,HOUSE WRECKING METAL SIGN ,2010-12-05 13:55:00,2011-05-25 17:31:00,25,21,197,107.1
21905,1.29,685,707.41,United Kingdom,MORE BUTTER METAL SIGN ,2010-12-03 12:43:00,2011-12-06 09:31:00,111,84,3,707.41
21906,6.73,483,3220.81,United Kingdom,PHARMACIE FIRST AID TIN,2010-12-03 13:43:00,2011-12-05 14:19:00,95,71,3,3220.81
21907,2.11,2294,4761.55,United Kingdom,I'M ON HOLIDAY METAL SIGN,2010-12-01 11:21:00,2011-12-07 15:56:00,332,208,1,4761.55
21908,2.14,3635,7208.52,United Kingdom,CHOCOLATE THIS WAY METAL SIGN,2010-12-02 15:55:00,2011-12-09 08:48:00,381,220,0,7208.52
21910,1.65,36,59.4,United Kingdom,WAY OUT METAL SIGN ,2010-12-05 16:24:00,2011-02-16 16:57:00,8,8,295,59.4
21911,1.65,105,173.25,United Kingdom,GARDEN METAL SIGN ,2010-12-02 14:09:00,2011-03-07 13:10:00,20,18,276,173.25
21912,3.84,1575,5523.53,United Kingdom,VINTAGE SNAKES & LADDERS,2010-12-01 09:45:00,2011-12-08 13:04:00,271,201,0,5523.53
21913,3.83,305,1142.53,United Kingdom,VINTAGE SEASIDE JIGSAW PUZZLES,2010-12-01 08:45:00,2011-12-07 13:35:00,89,72,1,1142.53
21914,1.28,7434,9222.63,United Kingdom,BLUE HARMONICA IN BOX ,2010-12-01 11:41:00,2011-12-09 12:16:00,527,306,0,9222.63
21915,1.26,20975,23793.93,United Kingdom,RED  HARMONICA IN BOX ,2010-12-01 11:41:00,2011-12-07 15:07:00,567,349,1,23793.93
21916,0.43,4363,1771.54,United Kingdom,SET 12 RETRO WHITE CHALK STICKS,2010-12-01 11:57:00,2011-12-09 12:31:00,255,156,0,1771.54
21917,0.43,4095,1653.24,United Kingdom,SET 12 KIDS  WHITE CHALK STICKS,2010-12-01 14:34:00,2011-12-08 15:03:00,189,132,0,1653.24
21918,0.43,7013,2814.7,United Kingdom,SET 12 KIDS COLOUR  CHALK STICKS,2010-12-02 09:44:00,2011-12-09 12:16:00,286,193,0,2814.7
21922,7.95,759,5682.09,United Kingdom,UNION STRIPE WITH FRINGE  HAMMOCK,2010-12-01 14:38:00,2011-12-06 11:53:00,169,113,3,5682.09
21925,1.25,403,503.75,United Kingdom,UNION STRIPE CUSHION COVER ,2010-12-02 17:41:00,2011-12-06 17:49:00,66,38,2,503.75
21926,1.25,414,509.9,United Kingdom,RED/CREAM STRIPE CUSHION COVER ,2011-01-19 15:20:00,2011-12-08 12:07:00,60,35,1,509.9
21927,1.25,622,769.9,United Kingdom,BLUE/CREAM STRIPE CUSHION COVER ,2010-12-02 17:41:00,2011-12-01 19:42:00,99,41,7,769.9
21928,2.03,9704,18063.62,United Kingdom,JUMBO BAG SCANDINAVIAN PAISLEY,2010-12-01 14:11:00,2011-12-07 14:52:00,549,264,1,18063.62
21929,2.04,9889,18429.98,United Kingdom,JUMBO BAG PINK VINTAGE PAISLEY,2010-12-01 09:37:00,2011-12-09 12:19:00,606,308,0,18429.98
21930,2.03,5706,10890.79,United Kingdom,JUMBO STORAGE BAG SKULLS,2010-12-01 12:43:00,2011-12-08 13:46:00,481,220,0,10890.79
21931,2.03,11516,21790.95,United Kingdom,JUMBO STORAGE BAG SUKI,2010-12-01 09:37:00,2011-12-09 12:19:00,783,333,0,21790.95
21932,1.85,2467,4363.66,United Kingdom,SCANDINAVIAN PAISLEY PICNIC BAG,2010-12-03 12:24:00,2011-12-07 12:55:00,327,218,1,4363.66
21933,1.84,2410,4295.86,United Kingdom,PINK VINTAGE PAISLEY PICNIC BAG,2010-12-03 12:24:00,2011-12-08 13:04:00,294,198,0,4295.86
21934,1.65,1288,2081.2,United Kingdom,SKULL SHOULDER BAG,2010-12-01 09:41:00,2011-12-06 15:17:00,143,85,2,2081.2
21935,1.64,1763,2824.37,United Kingdom,SUKI  SHOULDER BAG,2010-12-01 14:41:00,2011-12-08 12:07:00,205,121,1,2824.37
21936,2.95,3758,10371.66,United Kingdom,RED RETROSPOT PICNIC BAG,2010-12-03 15:19:00,2011-12-07 14:54:00,388,223,1,10371.66
21937,2.93,1591,4433.45,United Kingdom,STRAWBERRY   PICNIC BAG,2010-12-03 15:19:00,2011-12-04 12:32:00,208,146,5,4433.45
21942,0.83,161,134.55,United Kingdom,SKULLS DESIGN FLANNEL,2010-12-10 12:20:00,2011-12-05 14:49:00,23,14,3,134.55
21943,0.85,57,48.45,United Kingdom,CAKES AND RABBITS DESIGN FLANNEL ,2010-12-12 12:08:00,2011-11-11 11:11:00,10,7,28,48.45
21944,0.77,232,177.88,United Kingdom,KITTENS DESIGN FLANNEL,2010-12-12 10:57:00,2011-12-08 19:57:00,34,24,0,177.88
21945,0.83,225,190.79,United Kingdom,STRAWBERRIES  DESIGN FLANNEL ,2010-12-03 12:48:00,2011-12-06 12:56:00,30,27,2,190.79
21946,0.81,72,58.9,United Kingdom,PARTY TIME DESIGN FLANNEL,2010-12-12 12:08:00,2011-12-05 14:49:00,11,8,3,58.9
21947,1.36,596,743.98,United Kingdom,SET OF 6 HEART CHOPSTICKS,2010-12-03 17:20:00,2011-12-06 14:23:00,88,62,2,743.98
21948,1.4,418,543.07,United Kingdom,SET OF 6 CAKE CHOPSTICKS,2010-12-02 14:09:00,2011-12-05 17:17:00,56,37,3,543.07
21949,1.31,613,725.49,United Kingdom,SET OF 6 STRAWBERRY CHOPSTICKS,2010-12-02 14:09:00,2011-12-05 17:17:00,59,46,3,725.49
21955,7.76,1159,6635.61,United Kingdom,DOORMAT UNION JACK GUNS AND ROSES,2010-12-01 11:45:00,2011-12-07 08:41:00,158,108,2,6635.61
21967,0.32,5166,1506.24,United Kingdom,PACK OF 12 SKULL TISSUES,2010-12-01 13:24:00,2011-12-08 14:38:00,180,129,0,1506.24
21972,1.45,292,423.4,United Kingdom,SET OF 36 DINOSAUR PAPER DOILIES,2010-12-23 12:58:00,2011-11-30 12:41:00,39,35,9,423.4
